,name,oklad,link,site
344,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
345,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
346,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
347,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
348,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
349,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
350,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
351,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
352,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
353,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
354,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
355,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
356,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
357,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
358,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
359,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
360,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
361,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
362,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
363,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
364,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
365,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
366,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
367,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
368,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
369,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
370,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
371,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
372,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
373,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
374,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
375,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
376,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
377,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
378,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
379,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
